ID,Machi,Community,Sex.1male,adol.less20,mat.20to50,old.over50,School.mest,ExEmpMest,ExComMest,Question,Response
264,0,A,0,0,1,0,1,1,1,12,0
264,0,A,0,0,1,0,1,1,1,17,0
264,0,A,0,0,1,0,1,1,1,19,1
264,0,A,0,0,1,0,1,1,1,20,0
264,0,A,0,0,1,0,1,1,1,21,1
264,0,A,0,0,1,0,1,1,1,22,1
264,0,A,0,0,1,0,1,1,1,24,0
264,0,A,0,0,1,0,1,1,1,29,1
264,0,A,0,0,1,0,1,1,1,30,1
267,0,A,0,0,1,0,1,1,1,1,0
267,0,A,0,0,1,0,1,1,1,5,0
267,0,A,0,0,1,0,1,1,1,6,1
267,0,A,0,0,1,0,1,1,1,11,1
267,0,A,0,0,1,0,1,1,1,12,1
267,0,A,0,0,1,0,1,1,1,17,1
267,0,A,0,0,1,0,1,1,1,19,1
267,0,A,0,0,1,0,1,1,1,20,0
267,0,A,0,0,1,0,1,1,1,21,1
267,0,A,0,0,1,0,1,1,1,29,1
267,0,A,0,0,1,0,1,1,1,30,1
288,0,A,0,0,1,0,1,1,1,1,1
288,0,A,0,0,1,0,1,1,1,5,1
288,0,A,0,0,1,0,1,1,1,6,0
288,0,A,0,0,1,0,1,1,1,10,1
288,0,A,0,0,1,0,1,1,1,11,0
288,0,A,0,0,1,0,1,1,1,12,1
288,0,A,0,0,1,0,1,1,1,17,1
288,0,A,0,0,1,0,1,1,1,19,1
288,0,A,0,0,1,0,1,1,1,21,1
288,0,A,0,0,1,0,1,1,1,22,1
288,0,A,0,0,1,0,1,1,1,29,1
288,0,A,0,0,1,0,1,1,1,30,1
289,0,A,1,0,1,0,1,1,1,1,1
289,0,A,1,0,1,0,1,1,1,6,1
289,0,A,1,0,1,0,1,1,1,10,0
289,0,A,1,0,1,0,1,1,1,11,1
289,0,A,1,0,1,0,1,1,1,12,1
289,0,A,1,0,1,0,1,1,1,17,1
289,0,A,1,0,1,0,1,1,1,19,0
289,0,A,1,0,1,0,1,1,1,20,0
289,0,A,1,0,1,0,1,1,1,21,1
289,0,A,1,0,1,0,1,1,1,22,0
289,0,A,1,0,1,0,1,1,1,24,0
289,0,A,1,0,1,0,1,1,1,29,1
289,0,A,1,0,1,0,1,1,1,30,1
273,0,A,0,0,1,0,1,1,1,1,1
273,0,A,0,0,1,0,1,1,1,5,1
273,0,A,0,0,1,0,1,1,1,6,0
273,0,A,0,0,1,0,1,1,1,10,0
273,0,A,0,0,1,0,1,1,1,11,0
273,0,A,0,0,1,0,1,1,1,12,0
273,0,A,0,0,1,0,1,1,1,17,1
273,0,A,0,0,1,0,1,1,1,19,0
273,0,A,0,0,1,0,1,1,1,20,0
273,0,A,0,0,1,0,1,1,1,21,1
273,0,A,0,0,1,0,1,1,1,22,1
273,0,A,0,0,1,0,1,1,1,24,0
273,0,A,0,0,1,0,1,1,1,29,1
273,0,A,0,0,1,0,1,1,1,30,1
290,0,A,1,1,0,0,1,1,1,1,0
290,0,A,1,1,0,0,1,1,1,5,1
290,0,A,1,1,0,0,1,1,1,6,1
290,0,A,1,1,0,0,1,1,1,10,0
290,0,A,1,1,0,0,1,1,1,11,0
290,0,A,1,1,0,0,1,1,1,12,0
290,0,A,1,1,0,0,1,1,1,17,0
290,0,A,1,1,0,0,1,1,1,21,1
290,0,A,1,1,0,0,1,1,1,22,0
290,0,A,1,1,0,0,1,1,1,24,0
290,0,A,1,1,0,0,1,1,1,29,1
290,0,A,1,1,0,0,1,1,1,30,1
291,0,A,0,0,1,0,1,1,1,1,1
291,0,A,0,0,1,0,1,1,1,5,1
291,0,A,0,0,1,0,1,1,1,6,1
291,0,A,0,0,1,0,1,1,1,10,0
291,0,A,0,0,1,0,1,1,1,11,0
291,0,A,0,0,1,0,1,1,1,12,1
291,0,A,0,0,1,0,1,1,1,17,1
291,0,A,0,0,1,0,1,1,1,19,1
291,0,A,0,0,1,0,1,1,1,20,1
291,0,A,0,0,1,0,1,1,1,21,1
291,0,A,0,0,1,0,1,1,1,22,1
291,0,A,0,0,1,0,1,1,1,24,0
291,0,A,0,0,1,0,1,1,1,29,1
291,0,A,0,0,1,0,1,1,1,30,1
268,0,A,0,0,1,0,1,1,1,1,0
268,0,A,0,0,1,0,1,1,1,5,1
268,0,A,0,0,1,0,1,1,1,6,1
268,0,A,0,0,1,0,1,1,1,11,0
268,0,A,0,0,1,0,1,1,1,12,0
268,0,A,0,0,1,0,1,1,1,17,1
268,0,A,0,0,1,0,1,1,1,19,1
268,0,A,0,0,1,0,1,1,1,20,0
268,0,A,0,0,1,0,1,1,1,24,0
268,0,A,0,0,1,0,1,1,1,29,1
268,0,A,0,0,1,0,1,1,1,30,1
269,0,A,0,0,1,0,1,1,1,1,1
269,0,A,0,0,1,0,1,1,1,5,0
269,0,A,0,0,1,0,1,1,1,6,1
269,0,A,0,0,1,0,1,1,1,10,0
269,0,A,0,0,1,0,1,1,1,11,0
269,0,A,0,0,1,0,1,1,1,12,0
269,0,A,0,0,1,0,1,1,1,17,1
269,0,A,0,0,1,0,1,1,1,19,1
269,0,A,0,0,1,0,1,1,1,20,0
269,0,A,0,0,1,0,1,1,1,21,1
269,0,A,0,0,1,0,1,1,1,22,0
269,0,A,0,0,1,0,1,1,1,24,0
269,0,A,0,0,1,0,1,1,1,29,1
269,0,A,0,0,1,0,1,1,1,30,1
295,0,A,0,0,1,0,1,1,1,1,0
295,0,A,0,0,1,0,1,1,1,5,0
295,0,A,0,0,1,0,1,1,1,6,0
295,0,A,0,0,1,0,1,1,1,10,1
295,0,A,0,0,1,0,1,1,1,11,0
295,0,A,0,0,1,0,1,1,1,12,0
295,0,A,0,0,1,0,1,1,1,17,1
295,0,A,0,0,1,0,1,1,1,21,1
295,0,A,0,0,1,0,1,1,1,22,0
295,0,A,0,0,1,0,1,1,1,29,1
295,0,A,0,0,1,0,1,1,1,30,1
293,0,A,1,0,1,0,1,1,1,1,1
293,0,A,1,0,1,0,1,1,1,5,1
293,0,A,1,0,1,0,1,1,1,6,1
293,0,A,1,0,1,0,1,1,1,10,0
293,0,A,1,0,1,0,1,1,1,11,0
293,0,A,1,0,1,0,1,1,1,12,1
293,0,A,1,0,1,0,1,1,1,17,0
293,0,A,1,0,1,0,1,1,1,19,0
293,0,A,1,0,1,0,1,1,1,20,0
293,0,A,1,0,1,0,1,1,1,21,0
293,0,A,1,0,1,0,1,1,1,22,0
293,0,A,1,0,1,0,1,1,1,29,1
293,0,A,1,0,1,0,1,1,1,30,1
270,0,A,1,0,1,0,1,1,1,1,0
270,0,A,1,0,1,0,1,1,1,5,1
270,0,A,1,0,1,0,1,1,1,6,1
270,0,A,1,0,1,0,1,1,1,10,1
270,0,A,1,0,1,0,1,1,1,11,1
270,0,A,1,0,1,0,1,1,1,12,0
270,0,A,1,0,1,0,1,1,1,17,0
270,0,A,1,0,1,0,1,1,1,19,0
270,0,A,1,0,1,0,1,1,1,20,0
270,0,A,1,0,1,0,1,1,1,21,1
270,0,A,1,0,1,0,1,1,1,22,0
270,0,A,1,0,1,0,1,1,1,29,1
270,0,A,1,0,1,0,1,1,1,30,1
271,0,A,0,0,1,0,1,1,1,1,0
271,0,A,0,0,1,0,1,1,1,5,0
271,0,A,0,0,1,0,1,1,1,6,1
271,0,A,0,0,1,0,1,1,1,10,0
271,0,A,0,0,1,0,1,1,1,11,0
271,0,A,0,0,1,0,1,1,1,12,0
271,0,A,0,0,1,0,1,1,1,17,0
271,0,A,0,0,1,0,1,1,1,19,1
271,0,A,0,0,1,0,1,1,1,20,1
271,0,A,0,0,1,0,1,1,1,21,1
271,0,A,0,0,1,0,1,1,1,22,1
271,0,A,0,0,1,0,1,1,1,24,0
271,0,A,0,0,1,0,1,1,1,29,1
271,0,A,0,0,1,0,1,1,1,30,1
272,0,A,0,0,1,0,1,1,1,1,1
272,0,A,0,0,1,0,1,1,1,5,0
272,0,A,0,0,1,0,1,1,1,6,1
272,0,A,0,0,1,0,1,1,1,11,0
272,0,A,0,0,1,0,1,1,1,12,0
272,0,A,0,0,1,0,1,1,1,17,0
272,0,A,0,0,1,0,1,1,1,19,1
272,0,A,0,0,1,0,1,1,1,20,0
272,0,A,0,0,1,0,1,1,1,21,0
272,0,A,0,0,1,0,1,1,1,22,1
272,0,A,0,0,1,0,1,1,1,24,0
272,0,A,0,0,1,0,1,1,1,29,1
272,0,A,0,0,1,0,1,1,1,30,1
292,0,A,1,0,1,0,1,1,1,1,0
292,0,A,1,0,1,0,1,1,1,6,1
292,0,A,1,0,1,0,1,1,1,11,0
292,0,A,1,0,1,0,1,1,1,12,0
292,0,A,1,0,1,0,1,1,1,17,0
292,0,A,1,0,1,0,1,1,1,21,1
292,0,A,1,0,1,0,1,1,1,22,1
292,0,A,1,0,1,0,1,1,1,29,1
292,0,A,1,0,1,0,1,1,1,30,1
294,0,A,1,0,1,0,1,1,1,1,1
294,0,A,1,0,1,0,1,1,1,5,0
294,0,A,1,0,1,0,1,1,1,6,1
294,0,A,1,0,1,0,1,1,1,10,0
294,0,A,1,0,1,0,1,1,1,11,0
